Frame: 2
 1.000976e+00 -6.256814e-03 -5.280474e+00
 2.279198e-04 1.002914e+00 1.282652e+00
 0 0 1
Frame: 148
 1.000934e+00 -3.292063e-03 -6.691619e+00
 -1.113428e-03 1.001980e+00 2.223783e+00
 0 0 1
Frame: 149
 1.000553e+00 -2.376125e-03 -6.410974e+00
 -2.268721e-03 1.002394e+00 2.687594e+00
 0 0 1
Frame: 150
 1.000508e+00 -7.492107e-03 -4.646725e+00
 -1.027914e-04 1.002893e+00 1.117933e+00
 0 0 1
Frame: 151
 1.000718e+00 -7.523946e-03 -5.679945e+00
 1.780743e-03 1.002076e+00 2.908534e-01
 0 0 1
Frame: 152
 1.000951e+00 -1.044750e-02 -4.328219e+00
 3.406623e-03 1.002542e+00 -5.409287e-01
 0 0 1
Frame: 153
 1.001083e+00 -8.401096e-03 -4.991574e+00
 2.815019e-03 1.003369e+00 -6.027103e-01
 0 0 1
Frame: 154
 1.001104e+00 -7.859094e-03 -5.666611e+00
 1.586487e-03 1.002551e+00 3.747538e-01
 0 0 1
Frame: 155
 1.000578e+00 -5.615478e-03 -5.798936e+00
 3.799574e-04 1.002099e+00 9.669176e-01
 0 0 1
Frame: 156
 1.000609e+00 -8.730419e-03 -4.900610e+00
 7.739500e-04 1.002242e+00 7.862540e-01
 0 0 1
Frame: 157
 1.000749e+00 -5.369858e-03 -6.053909e+00
 6.771275e-04 1.002314e+00 8.274748e-01
 0 0 1
Frame: 158
 1.000762e+00 -6.493908e-03 -5.015108e+00
 3.098099e-04 1.002733e+00 9.057122e-01
 0 0 1
Frame: 159
 1.000916e+00 -4.656432e-03 -6.191498e+00
 -1.038679e-03 1.002111e+00 1.513593e+00
 0 0 1
Frame: 160
 1.000943e+00 -3.972025e-03 -5.766597e+00
 -1.486113e-03 1.002624e+00 1.927479e+00
 0 0 1
Frame: 161
 1.001083e+00 -3.582927e-03 -5.792494e+00
 -1.035718e-03 1.002918e+00 1.836742e+00
 0 0 1
Frame: 162
 1.001170e+00 -5.008213e-03 -6.338506e+00
 -5.120624e-04 1.002328e+00 1.552409e+00
 0 0 1
Frame: 163
 1.001452e+00 -2.726288e-03 -6.579972e+00
 -1.123148e-03 1.003099e+00 1.645612e+00
 0 0 1
Frame: 164
 1.000929e+00 -5.926968e-03 -5.491669e+00
 -9.316191e-04 1.002615e+00 1.526399e+00
 0 0 1
Frame: 165
 1.001547e+00 -1.481905e-03 -7.366862e+00
 -1.924193e-03 1.002269e+00 2.299088e+00
 0 0 1
Frame: 166
 1.001249e+00 -3.496028e-03 -5.896654e+00
 -1.363942e-03 1.003705e+00 1.675146e+00
 0 0 1
Frame: 167
 1.001086e+00 -4.072891e-03 -6.445125e+00
 -9.400881e-04 1.002763e+00 1.696390e+00
 0 0 1
Frame: 168
 1.001116e+00 -5.743922e-03 -6.164799e+00
 8.118975e-05 1.002664e+00 9.392486e-01
 0 0 1
Frame: 169
 1.001470e+00 -7.320996e-03 -5.146627e+00
 1.069239e-03 1.003338e+00 5.779070e-01
 0 0 1
Frame: 170
 1.001381e+00 -4.891053e-03 -6.413795e+00
 7.289675e-04 1.002780e+00 8.157922e-01
 0 0 1
Frame: 171
 1.001268e+00 -8.206069e-03 -4.529259e+00
 4.697057e-04 1.002891e+00 8.436097e-01
 0 0 1
Frame: 172
 1.001439e+00 -2.704773e-03 -7.185300e+00
 -4.509408e-04 1.003106e+00 1.559546e+00
 0 0 1
Frame: 173
 1.001955e+00 -4.191994e-03 -6.314179e+00
 -1.389769e-03 1.003642e+00 1.723420e+00
 0 0 1
Frame: 174
 1.001196e+00 -1.642958e-03 -6.100701e+00
 -1.320843e-03 1.002846e+00 2.243512e+00
 0 0 1
Frame: 175
 1.001350e+00 -5.178336e-03 -6.229211e+00
 -8.736687e-04 1.003298e+00 1.591409e+00
 0 0 1
Frame: 176
 1.001361e+00 -4.398605e-03 -5.868643e+00
 -6.876845e-04 1.002970e+00 1.704798e+00
 0 0 1
Frame: 177
 1.001478e+00 -3.972997e-03 -6.469529e+00
 -1.119947e-03 1.002501e+00 1.852372e+00
 0 0 1
Frame: 178
 1.001214e+00 -5.543093e-03 -5.722679e+00
 -3.758457e-04 1.003092e+00 1.148044e+00
 0 0 1
Frame: 179
 1.002011e+00 -3.035689e-03 -6.087650e+00
 -1.276495e-04 1.003860e+00 1.159129e+00
 0 0 1
Frame: 180
 1.001701e+00 -6.312295e-03 -5.551021e+00
 -1.505288e-04 1.003525e+00 1.510332e+00
 0 0 1
Frame: 181
 1.001178e+00 -6.002957e-03 -6.192258e+00
 -7.040989e-05 1.002352e+00 1.475963e+00
 0 0 1
Frame: 182
 1.001146e+00 -4.023916e-03 -6.472270e+00
 -4.243853e-04 1.002985e+00 1.258138e+00
 0 0 1
Frame: 183
 1.001020e+00 -4.719618e-03 -6.282045e+00
 -2.603318e-04 1.002972e+00 1.167871e+00
 0 0 1
Frame: 184
 1.001334e+00 -6.254463e-03 -5.686691e+00
 1.773254e-03 1.002922e+00 3.646466e-01
 0 0 1
Frame: 185
 1.001105e+00 -7.023709e-03 -5.384271e+00
 6.718004e-04 1.003112e+00 7.041727e-01
 0 0 1
Frame: 186
 1.001328e+00 -5.718305e-03 -5.331227e+00
 1.661707e-04 1.003021e+00 1.162106e+00
 0 0 1
Frame: 187
 1.000805e+00 -6.893349e-03 -5.886492e+00
 5.603231e-04 1.002532e+00 1.014217e+00
 0 0 1
Frame: 188
 1.000996e+00 -6.220432e-03 -5.810742e+00
 9.273996e-04 1.003250e+00 7.348616e-01
 0 0 1
Frame: 189
 1.001070e+00 -6.770138e-03 -5.543221e+00
 4.363291e-04 1.002086e+00 1.062880e+00
 0 0 1
Frame: 190
 1.001408e+00 -2.608662e-03 -6.394309e+00
 -1.571420e-03 1.002403e+00 2.023773e+00
 0 0 1
Frame: 191
 1.000685e+00 -1.210962e-03 -6.479307e+00
 -3.297028e-03 1.002578e+00 2.657690e+00
 0 0 1
Frame: 192
 1.000286e+00 -4.744859e-03 -6.829892e+00
 -1.937181e-03 1.003195e+00 2.325173e+00
 0 0 1
Frame: 193
 1.000585e+00 -4.398055e-03 -6.179298e+00
 3.228186e-04 1.003104e+00 9.957641e-01
 0 0 1
Frame: 194
 1.001268e+00 -6.411793e-03 -5.507925e+00
 1.016249e-03 1.002614e+00 9.844736e-01
 0 0 1
Frame: 195
 1.001213e+00 -5.486766e-03 -6.500646e+00
 9.531427e-04 1.003370e+00 6.967836e-01
 0 0 1
Frame: 196
 1.001241e+00 -8.036451e-03 -4.680513e+00
 1.230987e-03 1.003308e+00 9.247053e-01
 0 0 1
Frame: 197
 1.001131e+00 -6.821245e-03 -5.506937e+00
 1.355398e-03 1.003072e+00 4.708096e-01
 0 0 1
Frame: 198
 1.001570e+00 -6.134117e-03 -6.054825e+00
 8.245187e-04 1.003153e+00 1.027433e+00
 0 0 1
Frame: 199
 1.001261e+00 -5.231375e-03 -6.407969e+00
 2.233868e-05 1.002842e+00 1.228793e+00
 0 0 1
Frame: 200
 1.001200e+00 -4.112584e-03 -6.632672e+00
 -5.399128e-04 1.002903e+00 1.385299e+00
 0 0 1
Frame: 201
 1.001160e+00 -6.084589e-03 -5.180645e+00
 -1.216125e-04 1.003000e+00 1.439525e+00
 0 0 1
Frame: 202
 1.001353e+00 -5.853357e-03 -5.346727e+00
 2.731906e-05 1.003336e+00 9.960010e-01
 0 0 1
Frame: 203
 1.000820e+00 -5.519849e-03 -6.015757e+00
 -4.148678e-04 1.002216e+00 1.548348e+00
 0 0 1
Frame: 204
 1.001533e+00 -7.200055e-03 -5.959796e+00
 1.224521e-03 1.003574e+00 6.308981e-01
 0 0 1
Frame: 205
 1.001458e+00 -6.827176e-03 -5.948672e+00
 1.819159e-03 1.003060e+00 5.233797e-01
 0 0 1
Frame: 206
 1.001291e+00 -7.508725e-03 -5.405031e+00
 1.602387e-03 1.003519e+00 4.485406e-01
 0 0 1
Frame: 207
 1.000993e+00 -7.679692e-03 -6.801475e+00
 1.530961e-03 1.002802e+00 2.789360e-01
 0 0 1
Frame: 208
 1.001277e+00 -8.647201e-03 -5.466445e+00
 2.020217e-03 1.002987e+00 1.563140e-01
 0 0 1
Frame: 209
 1.001724e+00 -6.872473e-03 -7.369301e+00
 1.639462e-03 1.003355e+00 4.372199e-01
 0 0 1
Frame: 210
 1.001158e+00 -7.035537e-03 -6.038250e+00
 7.385126e-04 1.003272e+00 7.071094e-01
 0 0 1
Frame: 211
 1.001392e+00 -4.841260e-03 -6.961326e+00
 1.074739e-03 1.003026e+00 1.028949e+00
 0 0 1
Frame: 212
