Frame: 2
 2.048205e-04 1.003759e+00 2.660237e+02
 0 0 1
Frame: 76
 1.001563e+00 -6.544798e-03 -6.139938e+00
 7.498499e-04 1.002893e+00 -2.628111e+02
 0 0 1
Frame: 77
 1.001861e+00 -4.106986e-03 -8.002733e+00
 -2.375364e-03 1.003668e+00 2.674416e+02
 0 0 1
Frame: 78
 9.998161e-01 -1.630192e-03 -6.750721e+00
 -3.765178e-03 1.002747e+00 -2.606509e+02
 0 0 1
Frame: 79
 1.001226e+00 -2.937137e-03 -6.706406e+00
 -3.653249e-03 1.002430e+00 2.679923e+02
 0 0 1
Frame: 80
 1.000258e+00 -4.566371e-03 -5.804463e+00
 -1.946073e-03 1.003670e+00 -2.614735e+02
 0 0 1
Frame: 81
 1.001086e+00 -4.139997e-03 -8.270632e+00
 -7.122833e-04 1.002939e+00 2.665555e+02
 0 0 1
Frame: 82
 1.000931e+00 -7.536459e-03 -5.196289e+00
 1.939385e-04 1.003530e+00 -2.625168e+02
 0 0 1
Frame: 83
 1.002025e+00 -4.433044e-04 -8.458894e+00
 7.113669e-05 1.006778e+00 2.661257e+02
 0 0 1
Frame: 84
 1.000938e+00 -9.926824e-03 -3.594608e+00
 1.229540e-03 1.003581e+00 -2.632329e+02
 0 0 1
Frame: 85
 1.001112e+00 -6.666372e-03 -6.977780e+00
 1.106130e-03 1.001831e+00 2.655035e+02
 0 0 1
Frame: 86
 9.998073e-01 -7.883817e-03 -5.411481e+00
 7.980674e-04 1.002833e+00 -2.628774e+02
 0 0 1
Frame: 87
 1.000945e+00 -7.335741e-03 -7.206827e+00
 9.340853e-04 1.003942e+00 2.654833e+02
 0 0 1
Frame: 88
 1.000470e+00 -8.229046e-03 -4.789273e+00
 9.049067e-04 1.003106e+00 -2.635700e+02
 0 0 1
Frame: 89
 1.000794e+00 -5.559846e-03 -7.680913e+00
 -2.409299e-04 1.002007e+00 2.664758e+02
 0 0 1
Frame: 90
 1.000344e+00 -8.412344e-03 -4.579257e+00
 -6.672514e-05 1.003583e+00 -2.629976e+02
 0 0 1
Frame: 91
 1.000804e+00 -8.808598e-03 -6.502217e+00
 4.441444e-04 1.002860e+00 2.657539e+02
 0 0 1
Frame: 92
 9.999942e-01 -6.927982e-03 -5.356908e+00
 6.622468e-04 1.002183e+00 -2.626329e+02
 0 0 1
Frame: 93
 1.000492e+00 -1.188202e-02 -7.323277e+00
 3.973320e-03 1.003186e+00 2.639403e+02
 0 0 1
Frame: 94
 1.000618e+00 -1.538048e-02 -2.494452e+00
 5.042807e-03 1.003447e+00 -2.651331e+02
 0 0 1
Frame: 95
 1.001134e+00 -1.059321e-02 -8.033554e+00
 3.203184e-03 1.002672e+00 2.644947e+02
 0 0 1
Frame: 96
 1.000195e+00 -7.313802e-03 -5.586197e+00
 1.973788e-03 1.002549e+00 -2.635833e+02
 0 0 1
Frame: 97
 1.001041e+00 -7.002032e-03 -7.197543e+00
 -4.553324e-04 1.001787e+00 2.663237e+02
 0 0 1
Frame: 98
 1.000410e+00 -6.759438e-03 -5.986903e+00
 -5.088594e-04 1.004407e+00 -2.631670e+02
 0 0 1
Frame: 99
 1.001056e+00 -8.563908e-03 -6.790316e+00
 1.436253e-03 1.003471e+00 2.648570e+02
 0 0 1
Frame: 100
 1.000429e+00 -7.340084e-03 -5.241344e+00
 5.729907e-04 1.001759e+00 -2.625230e+02
 0 0 1
Frame: 101
 1.000927e+00 -2.889030e-03 -7.190429e+00
 -2.876134e-03 1.002723e+00 2.674785e+02
 0 0 1
Frame: 102
 1.000465e+00 -6.867454e-03 -4.793070e+00
 -2.331893e-03 1.002749e+00 -2.612751e+02
 0 0 1
Frame: 103
 1.001041e+00 -5.400140e-03 -7.779308e+00
 -1.615118e-03 1.003512e+00 2.668279e+02
 0 0 1
Frame: 104
 1.000034e+00 -6.221190e-03 -5.540903e+00
 -1.105720e-03 1.001895e+00 -2.616527e+02
 0 0 1
Frame: 105
 1.001127e+00 -3.242500e-03 -8.252249e+00
 -2.505610e-03 1.002730e+00 2.674254e+02
 0 0 1
Frame: 106
 9.994781e-01 -7.037505e-03 -5.345106e+00
 -2.175384e-03 1.001545e+00 -2.607506e+02
 0 0 1
Frame: 107
 1.000893e+00 -6.414833e-03 -7.424816e+00
 8.185893e-04 1.004099e+00 2.656891e+02
 0 0 1
Frame: 108
 1.000328e+00 -1.140331e-02 -3.960073e+00
 2.632616e-03 1.004577e+00 -2.645573e+02
 0 0 1
Frame: 109
 1.001395e+00 -9.133970e-03 -7.588474e+00
 2.010076e-03 1.001582e+00 2.656637e+02
 0 0 1
Frame: 110
 1.000262e+00 -4.437875e-03 -5.665783e+00
 -2.436117e-03 1.001525e+00 -2.609214e+02
 0 0 1
Frame: 111
 1.001186e+00 -5.219049e-03 -7.753154e+00
 -9.942059e-04 1.003436e+00 2.667680e+02
 0 0 1
Frame: 112
 1.000675e+00 -8.867117e-03 -4.455681e+00
 8.382650e-04 1.003087e+00 -2.629184e+02
 0 0 1
Frame: 113
 1.001025e+00 -1.294186e-02 -7.275075e+00
 3.565203e-03 1.003877e+00 2.642183e+02
 0 0 1
Frame: 114
 1.001051e+00 -1.124991e-02 -4.481714e+00
 3.424786e-03 1.003035e+00 -2.643372e+02
 0 0 1
Frame: 115
 1.001212e+00 -1.083239e-02 -7.835358e+00
 3.004115e-03 1.002870e+00 2.646595e+02
 0 0 1
Frame: 116
 1.001019e+00 -9.772280e-03 -4.366522e+00
 2.013240e-03 1.002778e+00 -2.633632e+02
 0 0 1
Frame: 117
 1.001513e+00 -1.141476e-02 -6.883362e+00
 2.563150e-03 1.003221e+00 2.648520e+02
 0 0 1
Frame: 118
 1.001072e+00 -1.191186e-02 -4.011229e+00
 3.674034e-03 1.002886e+00 -2.644948e+02
 0 0 1
Frame: 119
 1.002032e+00 -9.963866e-03 -7.260408e+00
 1.559757e-03 1.001780e+00 2.656577e+02
 0 0 1
Frame: 120
 1.004438e+00 -8.722496e-04 -8.601258e+00
 -5.267370e-04 1.007439e+00 -2.637142e+02
 0 0 1
Frame: 121
 1.001251e+00 -5.114873e-03 -6.068644e+00
 -2.381281e-03 1.000778e+00 2.675611e+02
 0 0 1
Frame: 122
 9.999909e-01 -1.126205e-03 -6.705711e+00
 -5.512186e-03 1.002604e+00 -2.600141e+02
 0 0 1
Frame: 123
 1.000494e+00 1.814292e-03 -6.922261e+00
 -6.899698e-03 1.000522e+00 2.695299e+02
 0 0 1
Frame: 124
 9.998003e-01 -2.260578e-03 -6.073810e+00
 -5.974197e-03 1.001662e+00 -2.594182e+02
 0 0 1
Frame: 125
 1.001202e+00 -6.244850e-04 -7.651429e+00
 -4.878497e-03 1.004501e+00 2.685887e+02
 0 0 1
Frame: 126
 1.000427e+00 -4.505745e-03 -5.273954e+00
 -2.684975e-03 1.002349e+00 -2.611074e+02
 0 0 1
Frame: 127
 1.001742e+00 -5.561784e-03 -7.109095e+00
 -6.452430e-04 1.002197e+00 2.668502e+02
 0 0 1
Frame: 128
 1.000368e+00 -1.050927e-02 -4.418610e+00
 9.915640e-04 1.002265e+00 -2.630280e+02
 0 0 1
Frame: 129
 1.001853e+00 -8.835291e-03 -7.259803e+00
 2.880438e-03 1.003796e+00 2.644306e+02
 0 0 1
Frame: 130
 1.000948e+00 -9.291635e-03 -4.343456e+00
 1.436012e-03 1.001886e+00 -2.630019e+02
 0 0 1
Frame: 131
 1.001339e+00 -8.752180e-03 -7.001138e+00
 4.972420e-05 1.002212e+00 2.661429e+02
 0 0 1
Frame: 132
 1.001351e+00 -7.414271e-03 -5.889857e+00
 6.200621e-04 1.003205e+00 -2.628403e+02
 0 0 1
Frame: 133
 1.001370e+00 -1.176821e-02 -6.136863e+00
 3.095028e-03 1.002609e+00 2.646592e+02
 0 0 1
Frame: 134
 1.001659e+00 -1.313397e-02 -2.577356e+00
 4.648341e-03 1.003351e+00 -2.652037e+02
 0 0 1
Frame: 135
 1.002151e+00 -1.430017e-02 -7.053977e+00
 5.488160e-03 1.000871e+00 2.637956e+02
 0 0 1
Frame: 136
 1.000496e+00 -9.026672e-03 -4.710963e+00
 2.240369e-03 1.002573e+00 -2.640008e+02
 0 0 1
Frame: 137
 1.001302e+00 -7.055897e-03 -6.614723e+00
 -2.293817e-03 1.002328e+00 2.670099e+02
 0 0 1
Frame: 138
 1.000668e+00 -1.386847e-03 -6.689974e+00
 -3.973470e-03 1.002867e+00 -2.606523e+02
 0 0 1
Frame: 139
 1.001699e+00 -2.101005e-03 -7.911518e+00
 -4.629271e-03 1.001926e+00 2.685682e+02
 0 0 1
Frame: 140
 1.000562e+00 -3.512127e-03 -5.733108e+00
 -2.807315e-03 1.002963e+00 -2.611130e+02
 0 0 1
Frame: 141
 1.001776e+00 -6.306744e-03 -6.646409e+00
 -2.395023e-03 1.002466e+00 2.677745e+02
 0 0 1
Frame: 142
 1.000417e+00 -7.235393e-04 -7.564607e+00
 -3.839563e-03 1.001622e+00 -2.603236e+02
 0 0 1
Frame: 143
 1.001438e+00 -2.713720e-03 -7.420301e+00
 -3.639065e-03 1.003330e+00 2.677906e+02
 0 0 1
Frame: 144
 1.001294e+00 -5.767862e-03 -5.498513e+00
 -2.049340e-04 1.002418e+00 -2.620190e+02
 0 0 1
Frame: 145
 1.001282e+00 -5.697378e-03 -6.695230e+00
 -2.423247e-04 1.002921e+00 2.659160e+02
 0 0 1
Frame: 146
 1.000812e+00 -9.396265e-03 -4.021785e+00
 1.597591e-03 1.002060e+00 -2.630384e+02
 0 0 1
Frame: 147
 1.001258e+00 -7.846357e-03 -6.779116e+00
 1.876832e-04 1.003141e+00 2.661439e+02
 0 0 1
Frame: 148
 1.001146e+00 -2.292664e-03 -7.094409e+00
 -1.172609e-03 1.002961e+00 -2.618222e+02
 0 0 1
Frame: 149
 1.001134e+00 -4.850222e-03 -6.755746e+00
 -2.118990e-03 1.003401e+00 2.672590e+02
 0 0 1
Frame: 150
 1.000647e+00 -7.148900e-03 -4.933865e+00
 3.033766e-04 1.002324e+00 -2.626636e+02
 0 0 1
Frame: 151
 1.001309e+00 -1.001416e-02 -7.343904e+00
 2.078959e-03 1.003028e+00 2.647174e+02
 0 0 1
Frame: 152
 1.000890e+00 -1.011104e-02 -4.594195e+00
 3.518497e-03 1.001654e+00 -2.641325e+02
 0 0 1
Frame: 153
 1.001584e+00 -8.751631e-03 -7.156799e+00
 2.747788e-03 1.004336e+00 2.643759e+02
 0 0 1
Frame: 154
 1.000958e+00 -7.744134e-03 -5.719201e+00
 1.528378e-03 1.002471e+00 -2.634059e+02
 0 0 1
Frame: 155
 1.001125e+00 -5.789390e-03 -7.229216e+00
 4.719923e-04 1.003032e+00 2.655531e+02
 0 0 1
Frame: 156
 1.000736e+00 -9.557080e-03 -4.536120e+00
 9.228960e-04 1.003043e+00 -2.633408e+02
 0 0 1
Frame: 157
 1.001068e+00 -3.582764e-03 -7.706614e+00
 6.742114e-04 1.002286e+00 2.655939e+02
 0 0 1
Frame: 158
 1.000505e+00 -7.292408e-03 -4.685562e+00
 3.588144e-04 1.002971e+00 -2.630200e+02
 0 0 1
Frame: 159
 1.001186e+00 -5.530724e-03 -7.266880e+00
 -1.163076e-03 1.002873e+00 2.661864e+02
 0 0 1
Frame: 160
 1.000686e+00 -5.259519e-03 -5.308620e+00
 -1.358861e-03 1.001880e+00 -2.616831e+02
 0 0 1
Frame: 161
 1.001776e+00 -4.813753e-03 -6.647102e+00
 -9.180320e-04 1.004010e+00 2.666055e+02
 0 0 1
Frame: 162
 1.001320e+00 -3.366299e-03 -6.987635e+00
 -4.865725e-04 1.002980e+00 -2.625242e+02
 0 0 1
Frame: 163
 1.001442e+00 -3.727621e-03 -7.147808e+00
 -1.319962e-03 1.002508e+00 2.666689e+02
 0 0 1
Frame: 164
 1.000514e+00 -6.602941e-03 -5.211468e+00
 -7.599550e-04 1.002697e+00 -2.624589e+02
 0 0 1
Frame: 165
 1.001876e+00 -2.516646e-03 -7.717223e+00
 -1.904472e-03 1.002246e+00 2.669708e+02
 0 0 1
Frame: 166
 1.001138e+00 -5.020385e-03 -5.318997e+00
 -1.257070e-03 1.003755e+00 -2.623188e+02
 0 0 1
Frame: 167
 1.001636e+00 -5.078204e-03 -7.476095e+00
 -7.562022e-04 1.002180e+00 2.665325e+02
 0 0 1
Frame: 168
 1.001380e+00 -6.296237e-03 -6.025030e+00
 3.019585e-04 1.003789e+00 -2.634759e+02
 0 0 1
Frame: 169
 1.001767e+00 -8.867225e-03 -6.881840e+00
 1.108188e-03 1.003383e+00 2.655068e+02
 0 0 1
Frame: 170
 1.000907e+00 -3.576382e-03 -6.917411e+00
 7.227170e-04 1.002367e+00 -2.629502e+02
 0 0 1
Frame: 171
 1.001709e+00 -9.791639e-03 -6.550565e+00
 4.808433e-04 1.002794e+00 2.657743e+02
 0 0 1
Frame: 172
 1.001044e+00 -3.304708e-03 -6.898688e+00
 -4.940972e-04 1.002681e+00 -2.621958e+02
 0 0 1
Frame: 173
 1.001155e+00 -4.481239e-03 -7.195459e+00
 -1.831072e-03 1.003189e+00 2.667291e+02
 0 0 1
Frame: 174
 1.000996e+00 -1.895815e-03 -5.989130e+00
 -1.224970e-03 1.002738e+00 -2.616772e+02
 0 0 1
Frame: 175
 1.001628e+00 -7.383637e-03 -7.365406e+00
 -8.128874e-04 1.002503e+00 2.666041e+02
 0 0 1
Frame: 176
 1.000949e+00 -3.469009e-03 -6.111612e+00
 -6.675184e-04 1.003758e+00 -2.625113e+02
 0 0 1
Frame: 177
 1.001761e+00 -5.899580e-03 -7.272862e+00
 -1.124288e-03 1.002291e+00 2.666543e+02
 0 0 1
Frame: 178
 1.001011e+00 -5.501594e-03 -5.722123e+00
 -2.421998e-04 1.003882e+00 -2.631583e+02
 0 0 1
Frame: 179
 1.001876e+00 -4.067245e-03 -6.771223e+00
 -2.863895e-04 1.002374e+00 2.664753e+02
 0 0 1
Frame: 180
 1.000913e+00 -4.193310e-03 -6.439136e+00
 -7.275678e-05 1.002944e+00 -2.624793e+02
 0 0 1
Frame: 181
 1.001451e+00 -9.613506e-03 -7.289126e+00
 -2.642165e-05 1.002787e+00 2.661476e+02
 0 0 1
Frame: 182
 1.000949e+00 -2.228190e-03 -7.210887e+00
 -4.071895e-04 1.003229e+00 -2.626984e+02
 0 0 1
Frame: 183
 1.001421e+00 -8.394976e-03 -7.078885e+00
 -5.570957e-05 1.001797e+00 2.660966e+02
 0 0 1
Frame: 184
 1.000198e+00 -6.743632e-03 -5.404610e+00
 1.857314e-03 1.002094e+00 -2.634000e+02
 0 0 1
Frame: 185
 1.001400e+00 -8.547632e-03 -7.003240e+00
 6.876698e-04 1.004081e+00 2.654939e+02
 0 0 1
Frame: 186
 1.000634e+00 -5.827974e-03 -5.264139e+00
 9.722186e-05 1.001992e+00 -2.623484e+02
 0 0 1
Frame: 187
 1.001276e+00 -6.177655e-03 -7.883353e+00
 8.710111e-04 1.002049e+00 2.657305e+02
 0 0 1
Frame: 188
 1.001601e+00 -5.576297e-03 -5.910622e+00
 8.967032e-04 1.005987e+00 -2.639875e+02
 0 0 1
Frame: 189
 1.001409e+00 -5.301804e-03 -7.495511e+00
 3.976098e-04 1.003034e+00 2.656835e+02
 0 0 1
Frame: 190
 9.997778e-01 -3.143461e-03 -6.117271e+00
 -1.910915e-03 1.000541e+00 -2.611195e+02
 0 0 1
Frame: 191
 1.001062e+00 -1.894780e-03 -6.615927e+00
 -3.312400e-03 1.004018e+00 2.673693e+02
 0 0 1
Frame: 192
 9.999990e-01 -5.802311e-03 -6.473882e+00
 -1.474555e-03 1.002963e+00 -2.616739e+02
 0 0 1
Frame: 193
 1.001264e+00 -7.418296e-03 -7.099925e+00
 7.216864e-04 1.002684e+00 2.657727e+02
 0 0 1
Frame: 194
 1.000338e+00 -5.938472e-03 -5.635826e+00
 9.819677e-04 1.002180e+00 -2.627979e+02
 0 0 1
Frame: 195
 1.001105e+00 -6.721836e-03 -7.791392e+00
 9.203399e-04 1.002842e+00 2.656353e+02
 0 0 1
Frame: 196
 1.000962e+00 -8.093094e-03 -4.689801e+00
 1.367739e-03 1.002860e+00 -2.629139e+02
 0 0 1
Frame: 197
 1.001332e+00 -8.404790e-03 -7.127849e+00
 1.440266e-03 1.002366e+00 2.653620e+02
 0 0 1
Frame: 198
 1.000702e+00 -8.200711e-03 -5.206208e+00
 7.404614e-04 1.002340e+00 -2.626132e+02
 0 0 1
Frame: 199
